Year_month,Reported_SAL,Sales,Listings,Calculated_SAL
2020-01,18.20%,1571,8617,18.23%
2020-02,23.40%,2150,9195,23.38%
2020-03,26.30%,2524,9606,26.28%
2020-04,11.80%,1109,9389,11.81%
2020-05,15.00%,1485,9927,14.96%
2020-06,21.40%,2443,11424,21.38%
2020-07,25.90%,3128,12083,25.89%
2020-08,23.80%,3047,12803,23.80%
2020-09,27.80%,3643,13096,27.82%
2020-10,29.70%,3687,12416,29.70%
2020-11,27.60%,3064,11118,27.56%
2020-12,36.20%,3093,8538,36.23%
2021-01,28.80%,2389,8306,28.76%
2021-02,44.60%,3727,8358,44.59%
2021-03,62.40%,5703,9145,62.36%
2021-04,47.90%,4903,10245,47.86%
2021-05,38.90%,4268,10970,38.91%
2021-06,34.70%,3762,10839,34.71%
2021-07,33.80%,3326,9850,33.77%
2021-08,35.00%,3152,9005,35.00%
2021-09,34.10%,3149,9236,34.09%
2021-10,43.50%,3494,8034,43.49%
2021-11,48.00%,3428,7144,47.98%
2021-12,51.30%,2688,5236,51.34%
2022-01,40.30%,2285,5663,40.35%
2022-02,50.80%,3424,6742,50.79%
2022-03,56.90%,4344,7628,56.95%
2022-04,36.70%,3232,8796,36.74%
2022-05,29.20%,2918,10010,29.15%
2022-06,23.40%,2444,10425,23.44%
2022-07,18.30%,1887,10288,18.34%
2022-08,19.40%,1870,9662,19.35%
2022-09,16.90%,1687,9971,16.92%
2022-10,19.30%,1903,9852,19.32%
2022-11,17.60%,1614,9179,17.58%
2022-12,17.50%,1295,7384,17.54%
2023-01,13.70%,1022,7478,13.67%
2023-02,23.00%,1808,7868,22.98%
2023-03,30.70%,2511,8178,30.70%
2023-04,32.70%,2721,8333,32.65%
2023-05,38.40%,3381,8809,38.38%
2023-06,31.40%,2968,9466,31.35%
2023-07,24.90%,2428,9764,24.87%
2023-08,23.90%,2283,9553,23.90%
2023-09,17.70%,1912,10810,17.69%
2023-10,17.90%,1977,11034,17.92%
